"title","amount","department","detail","views","city","date"
"
                      I Paid Rs. 555 to Municipal Services in Achhnera.
                    ","Paid INR 555
                        ","Municipal Services","Birth Certificate","236 views","Achhnera
                      , Uttar Pradesh","October 13, 2015"
"
                      I Paid Rs. 20000 to Municipal Services in Abhayapuri.
                    ","Paid INR 20,000
                        ","Municipal Services","Birth Certificate","201 views","Abhayapuri
                      , Assam","October 13, 2015"
"
                      I Paid Rs. 12 to Municipal Services in Adilabad.
                    ","Paid INR 12
                        ","Municipal Services","Birth Certificate","206 views","Adilabad
                      , Telangana","October 13, 2015"
"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Paid INR 10
                        ","Commercial Tax, Sales Tax, VAT","C Form","233 views","New Delhi
                      , Delhi","October 13, 2015"
"
                      I Paid Rs. 22222 to Stamps and Registration in Bangalore.
                    ","Paid INR 22,222
                        ","Stamps and Registration","Registration of Property","298 views","Bangalore
                      , Karnataka","October 13, 2015"
"
                      I Paid Rs. 10 to Income Tax in Chandigarh.
                    ","Paid INR 10
                        ","Income Tax","New PAN Card","201 views","Chandigarh
                      , Chandigarh","October 13, 2015"
"
                      I Paid Rs. 565 to Stamps and Registration in Alipurduar.
                    ","Paid INR 565
                        ","Stamps and Registration","Registration of Property","233 views","Alipurduar
                      , West Bengal","October 13, 2015"
"
                      I Paid Rs. 30 to Municipal Services in Abohar.
                    ","Paid INR 30
                        ","Municipal Services","Birth Certificate","162 views","Abohar
                      , Punjab","October 13, 2015"
"
                      I Paid Rs. 10000 to Others in Guntur.
                    ","Paid INR 10,000
                        ","Others","Others","174 views","Guntur
                      , Andhra Pradesh","October 13, 2015"
"
                      I Paid Rs. 10000 to Municipal Services in Srivilliputhur.
                    ","Paid INR 10,000
                        ","Municipal Services","Birth Certificate","151 views","Srivilliputhur
                      , Tamil Nadu","October 13, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Chennai.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","126 views","Chennai
                      , Tamil Nadu","October 13, 2015"
"
                      I Paid Rs. 1000 to Others in New Delhi.
                    ","Paid INR 1,000
                        ","Others","Others","199 views","New Delhi
                      , Delhi","October 13, 2015"
"
                      I Paid Rs. 1000 to Others in Lucknow.
                    ","Paid INR 1,000
                        ","Others","Others","179 views","Lucknow
                      , Uttar Pradesh","October 13, 2015"
"
                      I Paid Rs. 20 to Police in Abhayapuri.
                    ","Paid INR 20
                        ","Police","Traffic Violations","174 views","Abhayapuri
                      , Assam","October 13, 2015"
"
                      I Paid Rs. 3000 to Police in Bangalore.
                    ","Paid INR 3,000
                        ","Police","Filing FIR","235 views","Bangalore
                      , Karnataka","October 13, 2015"
"
                      I Paid Rs. 50 to Others in Raipur.
                    ","Paid INR 50
                        ","Others","Others","182 views","Raipur
                      , Chhattisgarh","October 13, 2015"
"
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","180 views","Abhayapuri
                      , Assam","October 13, 2015"
"
                      I Paid Rs. 100 to Municipal Services in New Delhi.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","94 views","New Delhi
                      , Delhi","October 13, 2015"
"
                      I Paid Rs. 1000 to Others in Coimbatore.
                    ","Paid INR 1,000
                        ","Others","Others","118 views","Coimbatore
                      , Tamil Nadu","October 13, 2015"
"
                      I Paid Rs. 12 to Commercial Tax, Sales Tax, VAT in Hathras.
                    ","Paid INR 12
                        ","Commercial Tax, Sales Tax, VAT","C Form","130 views","Hathras
                      , Uttar Pradesh","October 13, 2015"
